CustomerID;CustomerName;Products;Distribution;distParams;firstdate;activeAschID
7;Customer 7;"[{""prod_no"": 0, ""prodID"": 39}]";norm;[365,10];2;131483.0
5;Customer 5;"[{""prod_no"": 0, ""prodID"": 33}]";norm;[365,10];2;131484.0
3;Customer 3;"[{""prod_no"": 0, ""prodID"": 38}]";norm;[365,10];2;131487.0
0;Customer 0;"[{""prod_no"": 0, ""prodID"": 36}]";norm;[365,10];2;131488.0
5;Customer 5;"[{""prod_no"": 0, ""prodID"": 39}]";norm;[365,10];2;131489.0
4;Customer 4;"[{""prod_no"": 0, ""prodID"": 38}]";norm;[365,10];2;131490.0
1;Customer 1;"[{""prod_no"": 0, ""prodID"": 61}]";norm;[730,10];2;131498.0
5;Customer 5;"[{""prod_no"": 0, ""prodID"": 63},{""prod_no"": 1, ""prodID"": 62},{""prod_no"": 2, ""prodID"": 61},{""prod_no"": 3, ""prodID"": 61},{""prod_no"": 4, ""prodID"": 58},{""prod_no"": 5, ""prodID"": 59},{""prod_no"": 6, ""prodID"": 58},{""prod_no"": 7, ""prodID"": 64},{""prod_no"": 8, ""prodID"": 57},{""prod_no"": 9, ""prodID"": 60},{""prod_no"": 10, ""prodID"": 65},{""prod_no"": 11, ""prodID"": 64}]";norm;[730,10];2;131499.0
6;Customer 6;"[{""prod_no"": 0, ""prodID"": 111},{""prod_no"": 1, ""prodID"": 114},{""prod_no"": 2, ""prodID"": 109},{""prod_no"": 3, ""prodID"": 112},{""prod_no"": 4, ""prodID"": 113},{""prod_no"": 5, ""prodID"": 115},{""prod_no"": 6, ""prodID"": 110},{""prod_no"": 7, ""prodID"": 117},{""prod_no"": 8, ""prodID"": 116}]";norm;[365,10];2;131501.0
1;Customer 1;"[{""prod_no"": 0, ""prodID"": 110}]";norm;[365,10];2;131502.0
7;Customer 7;"[{""prod_no"": 0, ""prodID"": 114}]";norm;[730,10];2;131516.0
4;Customer 4;"[{""prod_no"": 0, ""prodID"": 113}]";norm;[365,10];2;131517.0
7;Customer 7;"[{""prod_no"": 0, ""prodID"": 112}]";norm;[365,10];2;131518.0
1;Customer 1;"[{""prod_no"": 0, ""prodID"": 111}]";norm;[365,10];2;131519.0
5;Customer 5;"[{""prod_no"": 0, ""prodID"": 113}]";norm;[365,10];2;131521.0
4;Customer 4;"[{""prod_no"": 0, ""prodID"": 113}]";norm;[365,10];2;131522.0
1;Customer 1;"[{""prod_no"": 0, ""prodID"": 36}]";norm;[365,10];3;131555.0
1;Customer 1;"[{""prod_no"": 0, ""prodID"": 35}]";norm;[365,10];3;131556.0
0;Customer 0;"[{""prod_no"": 0, ""prodID"": 13}]";norm;[365,10];3;131558.0
7;Customer 7;"[{""prod_no"": 0, ""prodID"": 111},{""prod_no"": 1, ""prodID"": 111}]";norm;[365,10];4;131564.0
7;Customer 7;"[{""prod_no"": 0, ""prodID"": 112},{""prod_no"": 1, ""prodID"": 113},{""prod_no"": 2, ""prodID"": 113},{""prod_no"": 3, ""prodID"": 114},{""prod_no"": 4, ""prodID"": 115},{""prod_no"": 5, ""prodID"": 116},{""prod_no"": 6, ""prodID"": 116},{""prod_no"": 7, ""prodID"": 117},{""prod_no"": 8, ""prodID"": 110},{""prod_no"": 9, ""prodID"": 110},{""prod_no"": 10, ""prodID"": 110},{""prod_no"": 11, ""prodID"": 111},{""prod_no"": 12, ""prodID"": 111},{""prod_no"": 13, ""prodID"": 110},{""prod_no"": 14, ""prodID"": 109},{""prod_no"": 15, ""prodID"": 109}]";norm;[365,10];4;131576.0
0;Customer 0;"[{""prod_no"": 0, ""prodID"": 113}]";norm;[365,10];4;131583.0
3;Customer 3;"[{""prod_no"": 0, ""prodID"": 113}]";norm;[365,10];4;131584.0
4;Customer 4;"[{""prod_no"": 0, ""prodID"": 16}]";norm;[365,10];4;131603.0
4;Customer 4;"[{""prod_no"": 0, ""prodID"": 34}]";norm;[365,10];4;131604.0
4;Customer 4;"[{""prod_no"": 0, ""prodID"": 41},{""prod_no"": 1, ""prodID"": 36},{""prod_no"": 2, ""prodID"": 38},{""prod_no"": 3, ""prodID"": 36},{""prod_no"": 4, ""prodID"": 33},{""prod_no"": 5, ""prodID"": 41},{""prod_no"": 6, ""prodID"": 40},{""prod_no"": 7, ""prodID"": 37},{""prod_no"": 8, ""prodID"": 40},{""prod_no"": 9, ""prodID"": 39},{""prod_no"": 10, ""prodID"": 36},{""prod_no"": 11, ""prodID"": 37},{""prod_no"": 12, ""prodID"": 33},{""prod_no"": 13, ""prodID"": 39},{""prod_no"": 14, ""prodID"": 34},{""prod_no"": 15, ""prodID"": 33},{""prod_no"": 16, ""prodID"": 34},{""prod_no"": 17, ""prodID"": 34},{""prod_no"": 18, ""prodID"": 35},{""prod_no"": 19, ""prodID"": 36},{""prod_no"": 20, ""prodID"": 38},{""prod_no"": 21, ""prodID"": 39},{""prod_no"": 22, ""prodID"": 39},{""prod_no"": 23, ""prodID"": 35},{""prod_no"": 24, ""prodID"": 34}]";norm;[365,10];4;131605.0
5;Customer 5;"[{""prod_no"": 0, ""prodID"": 40},{""prod_no"": 1, ""prodID"": 36},{""prod_no"": 2, ""prodID"": 34},{""prod_no"": 3, ""prodID"": 35},{""prod_no"": 4, ""prodID"": 39},{""prod_no"": 5, ""prodID"": 41},{""prod_no"": 6, ""prodID"": 34},{""prod_no"": 7, ""prodID"": 33},{""prod_no"": 8, ""prodID"": 40},{""prod_no"": 9, ""prodID"": 37},{""prod_no"": 10, ""prodID"": 37},{""prod_no"": 11, ""prodID"": 34},{""prod_no"": 12, ""prodID"": 36},{""prod_no"": 13, ""prodID"": 35},{""prod_no"": 14, ""prodID"": 34},{""prod_no"": 15, ""prodID"": 37},{""prod_no"": 16, ""prodID"": 38},{""prod_no"": 17, ""prodID"": 33},{""prod_no"": 18, ""prodID"": 37},{""prod_no"": 19, ""prodID"": 38},{""prod_no"": 20, ""prodID"": 39},{""prod_no"": 21, ""prodID"": 40},{""prod_no"": 22, ""prodID"": 40}]";norm;[365,10];5;131612.0
1;Customer 1;"[{""prod_no"": 0, ""prodID"": 114}]";norm;[365,10];5;131613.0
0;Customer 0;"[{""prod_no"": 0, ""prodID"": 114}]";norm;[365,10];5;131614.0
5;Customer 5;"[{""prod_no"": 0, ""prodID"": 114}]";norm;[365,10];5;131615.0
7;Customer 7;"[{""prod_no"": 0, ""prodID"": 114}]";norm;[365,10];5;131616.0
7;Customer 7;"[{""prod_no"": 0, ""prodID"": 114}]";norm;[365,10];5;131617.0
