ProductID,Count,Interarrival
9,412,1701
10,427,1641
11,272,2576
12,308,2275
13,371,1889
14,242,2896
15,319,2197
16,348,2014
17,223,3143
33,3528,199
34,3905,179
35,2397,292
36,2687,261
37,3675,191
38,2198,319
39,2738,256
40,3726,188
41,1576,445
42,2,350400
57,482,1454
58,1071,654
59,439,1596
60,609,1151
61,660,1062
62,484,1448
63,376,1864
64,496,1413
65,315,2225
81,129,5433
82,202,3469
83,155,4521
84,125,5606
85,171,4098
86,98,7151
87,261,2685
88,137,5115
89,95,7377
90,1,700800
91,1,700800
109,938,747
110,899,780
111,764,917
112,1600,438
113,1639,428
114,583,1202
115,517,1356
116,698,1004
117,488,1436
118,21,33371
119,9,77867
130,50,14016
131,29,24166
132,97,7225
133,124,5652
134,89,7874
135,4,175200
136,38,18442
137,6,116800
138,30,23360
140,9,77867
150,94,7455
151,214,3275
152,227,3087
153,164,4273
154,494,1419
155,49,14302
156,21,33371
157,21,33371
158,46,15235
159,1,700800
